system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000006e2,35,32,30,48,29,194,17,1,29,818,-163,24,22,-23,42,-82,-3,15,-1,3,-480,82,-51,6,-34,-46,-7,1,469,-121,4,29,-25,41,-71,-1,5.1159434,351.16666,0.076667786,101058.0,0.009736334,156.25,289.41666,2.674664,"{""type"":""Point"",""coordinates"":[116.59103614199446,32.21066872854952]}"
00000000000000001176,31,29,24,60,41,198,25,1,22,43,-173,23,38,-10,46,-98,0,18,2,5,267,103,-24,28,-11,-41,-34,-2,-161,-127,-4,35,-28,34,-71,1,1.4356766,351.16666,0.076667786,101058.0,0.009736334,156.25,289.41666,2.674664,"{""type"":""Point"",""coordinates"":[116.53525278781585,32.21551577139462]}"
0000000000000000120c,38,34,33,61,62,199,42,1,24,571,-141,10,24,-12,21,-69,-2,17,7,5,427,75,-22,20,-13,-20,-65,-2,187,-106,-4,19,-26,17,-57,0,1.0960816,351.16666,0.076667786,101058.0,0.009736334,156.25,289.41666,2.674664,"{""type"":""Point"",""coordinates"":[116.51315348299497,32.21174337190341]}"
00000000000000001225,37,33,30,54,41,197,26,1,28,1061,-147,9,19,-38,38,-85,-4,18,2,5,-514,73,-65,-28,-41,-44,-24,1,557,-98,-5,23,-34,26,-64,-2,0.0,351.16666,0.076667786,101058.0,0.009736334,156.25,289.41666,2.674664,"{""type"":""Point"",""coordinates"":[116.58106559203894,32.268070736410536]}"
00000000000000001760,28,26,24,51,41,194,27,0,482,1472,-121,-2,47,-45,68,-75,-6,19,2,8,595,77,-4,-63,-32,-20,-36,-3,1286,-89,-19,34,-55,59,-76,-5,7.2336903,320.83334,0.076667786,93044.664,0.0073030004,165.75,285.77667,1.930664,"{""type"":""Point"",""coordinates"":[111.89940634591454,34.12299880633032]}"
00000000000000000dd4,38,37,40,60,57,204,44,1,61,875,-106,0,34,-44,35,-7,-3,16,8,5,621,58,4,6,23,-54,-20,-3,506,-105,3,40,-30,23,-10,-1,0.0,335.25,0.076667786,100552.0,0.008769,160.08333,287.56665,3.872664,"{""type"":""Point"",""coordinates"":[116.63092280091752,35.86582061666543]}"
00000000000000000f7e,42,43,44,59,59,205,50,1,66,558,-78,-6,36,-29,30,-12,-2,14,11,3,812,51,8,-3,10,-41,-10,-4,337,-67,-9,34,-16,18,-10,-1,0.0,335.25,0.076667786,100552.0,0.008769,160.08333,287.56665,3.872664,"{""type"":""Point"",""coordinates"":[116.63873960506422,35.80410665808574]}"
0000000000000000184c,35,34,33,66,50,205,32,0,55,1202,-139,-39,137,-29,104,-126,-4,28,3,15,135,75,66,-61,3,-87,58,-1,849,-125,-36,124,-18,75,-102,-3,3.598751,335.25,0.076667786,100552.0,0.008769,160.08333,287.56665,3.872664,"{""type"":""Point"",""coordinates"":[116.6290366011719,35.89223187220499]}"
00000000000000001f23,36,35,37,54,58,201,47,0,427,247,-117,37,12,-65,52,-24,0,13,8,3,982,87,-32,-42,17,-59,-68,-5,399,-104,20,-1,-72,44,-35,-1,14.562251,316.41666,0.076667786,96186.664,0.006849,165.08333,285.09332,2.0259972,"{""type"":""Point"",""coordinates"":[118.23091068630865,36.05042740027809]}"
0000000000000000092f,36,34,33,63,57,201,43,1,62,599,-154,-3,53,-49,24,-41,-2,14,11,6,1162,37,31,35,-2,-55,-15,-6,1586,-144,-13,81,-28,9,-50,-7,2.2531004,341.58334,0.076667786,100638.0,0.008831333,152.33333,287.89667,2.6153307,"{""type"":""Point"",""coordinates"":[114.85360538483296,34.626145932796945]}"
00000000000000000c16,36,32,32,53,47,200,38,1,51,1259,-98,39,-37,14,-40,-40,-5,15,9,3,678,52,-33,-52,-26,-55,-28,-3,-81,-122,-12,46,-38,33,-31,1,2.4452665,338.16666,0.076667786,100884.0,0.007826334,156.33333,287.90332,1.9533305,"{""type"":""Point"",""coordinates"":[117.09283661994294,34.986731139483844]}"
00000000000000000f3a,36,32,30,49,40,200,31,1,40,-18,-136,21,40,-7,40,-22,0,15,8,4,442,13,-19,-6,-5,-14,-28,-2,186,-133,8,46,-20,48,-27,0,2.2624547,338.16666,0.076667786,100884.0,0.007826334,156.33333,287.90332,1.9533305,"{""type"":""Point"",""coordinates"":[117.00821625925171,34.96813668809097]}"
00000000000000001c59,36,38,41,73,65,205,53,0,128,-287,-47,-15,65,-21,0,-40,2,19,6,5,1375,13,-14,-107,-21,-102,-43,-7,-624,-26,-21,50,2,-19,-44,4,3.601081,315.75,0.076667786,99898.0,0.0073480005,176.33333,285.5,2.9119973,"{""type"":""Point"",""coordinates"":[120.34402070722297,37.010364838659704]}"
