year,seed,band,importance
2017_2019,2,EVI_cos_1,74.41452920332371
2017_2019,2,EVI_cos_2,69.21379512310801
2017_2019,2,EVI_cos_3,77.90289513529503
2017_2019,2,EVI_sin_1,100.8085986824992
2017_2019,2,EVI_sin_2,83.89939175144453
2017_2019,2,EVI_sin_3,74.71657049427934
2017_2019,2,EVI_t,56.52472143491153
2017_2019,2,Landsat_B1,59.91995664047654
2017_2019,2,Landsat_B10,51.1405034196025
2017_2019,2,Landsat_B11,59.22902524412469
2017_2019,2,Landsat_B2,62.12054935130878
2017_2019,2,Landsat_B3,48.18573979388678
2017_2019,2,Landsat_B4,63.113077487929445
2017_2019,2,Landsat_B5,76.18237066538765
2017_2019,2,Landsat_B6,79.16183484290008
2017_2019,2,Landsat_B7,101.40634918966079
2017_2019,2,Landsat_B8,66.19660125368917
2017_2019,2,Landsat_B9,3.6171505614848334
2017_2019,2,Mean_EVI,71.00394484019229
2017_2019,2,Mean_NDBI,62.89990747365299
2017_2019,2,Mean_NDVI,53.28029855988727
2017_2019,2,NDBI_constant,83.54249679481619
2017_2019,2,NDBI_cos_1,77.35705373695494
2017_2019,2,NDBI_cos_2,66.71767093798509
2017_2019,2,NDBI_cos_3,78.29745354514829
2017_2019,2,NDBI_sin_1,76.93158933301056
2017_2019,2,NDBI_sin_2,78.91335198489239
2017_2019,2,NDBI_sin_3,75.93691233147469
2017_2019,2,NDBI_t,58.82529083902468
2017_2019,2,NDVI_constant,74.05313422173539
2017_2019,2,NDVI_cos_1,72.67334765064776
2017_2019,2,NDVI_cos_2,74.73035990592842
2017_2019,2,NDVI_cos_3,80.6781642698884
2017_2019,2,NDVI_sin_1,92.3415927787751
2017_2019,2,NDVI_sin_2,81.28111506772156
2017_2019,2,NDVI_sin_3,71.2254243029826
2017_2019,2,NDVI_t,48.31889356400399
2017_2019,2,SLOPE,83.9484964848595
2017_2019,2,Sentinel_B1,80.64177481020359
2017_2019,2,Sentinel_B10,55.202589257504414
2017_2019,2,Sentinel_B11,81.9487154695859
2017_2019,2,Sentinel_B12,100.23450637935024
2017_2019,2,Sentinel_B2,88.641719966348
2017_2019,2,Sentinel_B3,74.34222096272455
2017_2019,2,Sentinel_B4,79.03778531365704
2017_2019,2,Sentinel_B5,85.37355838950826
2017_2019,2,Sentinel_B6,80.45583010757655
2017_2019,2,Sentinel_B7,79.74604814630729
2017_2019,2,Sentinel_B8,81.1328047048947
2017_2019,2,Sentinel_B8A,91.89042732120011
2017_2019,2,Sentinel_B9,123.85179051880435
2017_2019,2,lrad,96.7057860385073
2017_2019,2,prec,87.16597704642685
2017_2019,2,pres,91.4397658594173
2017_2019,2,random,77.83322165050379
2017_2019,2,shum,90.13984746582344
2017_2019,2,srad,78.37185119711913
2017_2019,2,temp,87.6080793047283
2017_2019,2,wind,80.1589685337662
2017_2019,3,DEM,88.9631921131682
2017_2019,3,EVI_constant,68.67784088414116
2017_2019,3,EVI_cos_1,74.41452920332371
2017_2019,3,EVI_cos_2,69.21379512310801
2017_2019,3,EVI_cos_3,77.90289513529503
2017_2019,3,EVI_sin_1,100.8085986824992
2017_2019,3,EVI_sin_2,83.89939175144453
2017_2019,3,EVI_sin_3,74.71657049427934
2017_2019,3,EVI_t,56.52472143491153
2017_2019,3,Landsat_B1,59.91995664047654
2017_2019,3,Landsat_B10,51.1405034196025
2017_2019,3,Landsat_B11,59.22902524412469
2017_2019,3,Landsat_B2,62.12054935130878
2017_2019,3,Landsat_B3,48.18573979388678
2017_2019,3,Landsat_B4,63.113077487929445
2017_2019,3,Landsat_B5,76.18237066538765
2017_2019,3,Landsat_B6,79.16183484290008
2017_2019,3,Landsat_B7,101.40634918966079
2017_2019,3,Landsat_B8,66.19660125368917
2017_2019,3,Landsat_B9,3.6171505614848334
2017_2019,3,Mean_EVI,71.00394484019229
2017_2019,3,Mean_NDBI,62.89990747365299
2017_2019,3,Mean_NDVI,53.28029855988727
2017_2019,3,NDBI_constant,83.54249679481619
2017_2019,3,NDBI_cos_1,77.35705373695494
2017_2019,3,NDBI_cos_2,66.71767093798509
2017_2019,3,NDBI_cos_3,78.29745354514829
2017_2019,3,NDBI_sin_1,76.93158933301056
2017_2019,3,NDBI_sin_2,78.91335198489239
2017_2019,3,NDBI_sin_3,75.93691233147469
2017_2019,3,NDBI_t,58.82529083902468
2017_2019,3,NDVI_constant,74.05313422173539
2017_2019,3,NDVI_cos_1,72.67334765064776
2017_2019,3,NDVI_cos_2,74.73035990592842
2017_2019,3,NDVI_cos_3,80.6781642698884
2017_2019,3,NDVI_sin_1,92.3415927787751
2017_2019,3,NDVI_sin_2,81.28111506772156
2017_2019,3,NDVI_sin_3,71.2254243029826
2017_2019,3,NDVI_t,48.31889356400399
2017_2019,3,SLOPE,83.9484964848595
2017_2019,3,Sentinel_B1,80.64177481020359
2017_2019,3,Sentinel_B10,55.202589257504414
2017_2019,3,Sentinel_B11,81.9487154695859
2017_2019,3,Sentinel_B12,100.23450637935024
2017_2019,3,Sentinel_B2,88.641719966348
2017_2019,3,Sentinel_B3,74.34222096272455
2017_2019,3,Sentinel_B4,79.03778531365704
2017_2019,3,Sentinel_B5,85.37355838950826
2017_2019,3,Sentinel_B6,80.45583010757655
2017_2019,3,Sentinel_B7,79.74604814630729
2017_2019,3,Sentinel_B8,81.1328047048947
2017_2019,3,Sentinel_B8A,91.89042732120011
2017_2019,3,Sentinel_B9,123.85179051880435
2017_2019,3,lrad,96.7057860385073
2017_2019,3,prec,87.16597704642685
2017_2019,3,pres,91.4397658594173
2017_2019,3,random,77.83322165050379
2017_2019,3,shum,90.13984746582344
2017_2019,3,srad,78.37185119711913
2017_2019,3,temp,87.6080793047283
2017_2019,3,wind,80.1589685337662
2017_2019,4,DEM,88.9631921131682
2017_2019,4,EVI_constant,68.67784088414116
2017_2019,4,EVI_cos_1,74.41452920332371
2017_2019,4,EVI_cos_2,69.21379512310801
2017_2019,4,EVI_cos_3,77.90289513529503
2017_2019,4,EVI_sin_1,100.8085986824992
2017_2019,4,EVI_sin_2,83.89939175144453
2017_2019,4,EVI_sin_3,74.71657049427934
2017_2019,4,EVI_t,56.52472143491153
2017_2019,4,Landsat_B1,59.91995664047654
2017_2019,4,Landsat_B10,51.1405034196025
2017_2019,4,Landsat_B11,59.22902524412469
2017_2019,4,Landsat_B2,62.12054935130878
2017_2019,4,Landsat_B3,48.18573979388678
2017_2019,4,Landsat_B4,63.113077487929445
2017_2019,4,Landsat_B5,76.18237066538765
2017_2019,4,Landsat_B6,79.16183484290008
2017_2019,4,Landsat_B7,101.40634918966079
2017_2019,4,Landsat_B8,66.19660125368917
2017_2019,4,Landsat_B9,3.6171505614848334
2017_2019,4,Mean_EVI,71.00394484019229
2017_2019,4,Mean_NDBI,62.89990747365299
2017_2019,4,Mean_NDVI,53.28029855988727
2017_2019,4,NDBI_constant,83.54249679481619
2017_2019,4,NDBI_cos_1,77.35705373695494
2017_2019,4,NDBI_cos_2,66.71767093798509
2017_2019,4,NDBI_cos_3,78.29745354514829
2017_2019,4,NDBI_sin_1,76.93158933301056
2017_2019,4,NDBI_sin_2,78.91335198489239
2017_2019,4,NDBI_sin_3,75.93691233147469
2017_2019,4,NDBI_t,58.82529083902468
2017_2019,4,NDVI_constant,74.05313422173539
2017_2019,4,NDVI_cos_1,72.67334765064776
2017_2019,4,NDVI_cos_2,74.73035990592842
2017_2019,4,NDVI_cos_3,80.6781642698884
2017_2019,4,NDVI_sin_1,92.3415927787751
2017_2019,4,NDVI_sin_2,81.28111506772156
2017_2019,4,NDVI_sin_3,71.2254243029826
2017_2019,4,NDVI_t,48.31889356400399
2017_2019,4,SLOPE,83.9484964848595
2017_2019,4,Sentinel_B1,80.64177481020359
2017_2019,4,Sentinel_B10,55.202589257504414
2017_2019,4,Sentinel_B11,81.9487154695859
2017_2019,4,Sentinel_B12,100.23450637935024
2017_2019,4,Sentinel_B2,88.641719966348
2017_2019,4,Sentinel_B3,74.34222096272455
2017_2019,4,Sentinel_B4,79.03778531365704
2017_2019,4,Sentinel_B5,85.37355838950826
2017_2019,4,Sentinel_B6,80.45583010757655
2017_2019,4,Sentinel_B7,79.74604814630729
2017_2019,4,Sentinel_B8,81.1328047048947
2017_2019,4,Sentinel_B8A,91.89042732120011
2017_2019,4,Sentinel_B9,123.85179051880435
2017_2019,4,lrad,96.7057860385073
2017_2019,4,prec,87.16597704642685
2017_2019,4,pres,91.4397658594173
2017_2019,4,random,77.83322165050379
2017_2019,4,shum,90.13984746582344
2017_2019,4,srad,78.37185119711913
2017_2019,4,temp,87.6080793047283
2017_2019,4,wind,80.1589685337662
2017_2019,5,DEM,88.9631921131682
2017_2019,5,EVI_constant,68.67784088414116
2017_2019,5,EVI_cos_1,74.41452920332371
2017_2019,5,EVI_cos_2,69.21379512310801
2017_2019,5,EVI_cos_3,77.90289513529503
2017_2019,5,EVI_sin_1,100.8085986824992
2017_2019,5,EVI_sin_2,83.89939175144453
2017_2019,5,EVI_sin_3,74.71657049427934
2017_2019,5,EVI_t,56.52472143491153
2017_2019,5,Landsat_B1,59.91995664047654
2017_2019,5,Landsat_B10,51.1405034196025
2017_2019,5,Landsat_B11,59.22902524412469
2017_2019,5,Landsat_B2,62.12054935130878
2017_2019,5,Landsat_B3,48.18573979388678
2017_2019,5,Landsat_B4,63.113077487929445
2017_2019,5,Landsat_B5,76.18237066538765
2017_2019,5,Landsat_B6,79.16183484290008
2017_2019,5,Landsat_B7,101.40634918966079
2017_2019,5,Landsat_B8,66.19660125368917
2017_2019,5,Landsat_B9,3.6171505614848334
2017_2019,5,Mean_EVI,71.00394484019229
2017_2019,5,Mean_NDBI,62.89990747365299
2017_2019,5,Mean_NDVI,53.28029855988727
2017_2019,5,NDBI_constant,83.54249679481619
2017_2019,5,NDBI_cos_1,77.35705373695494
2017_2019,5,NDBI_cos_2,66.71767093798509
2017_2019,5,NDBI_cos_3,78.29745354514829
2017_2019,5,NDBI_sin_1,76.93158933301056
2017_2019,5,NDBI_sin_2,78.91335198489239
2017_2019,5,NDBI_sin_3,75.93691233147469
2017_2019,5,NDBI_t,58.82529083902468
2017_2019,5,NDVI_constant,74.05313422173539
2017_2019,5,NDVI_cos_1,72.67334765064776
2017_2019,5,NDVI_cos_2,74.73035990592842
2017_2019,5,NDVI_cos_3,80.6781642698884
2017_2019,5,NDVI_sin_1,92.3415927787751
2017_2019,5,NDVI_sin_2,81.28111506772156
2017_2019,5,NDVI_sin_3,71.2254243029826
2017_2019,5,NDVI_t,48.31889356400399
2017_2019,5,SLOPE,83.9484964848595
2017_2019,5,Sentinel_B1,80.64177481020359
2017_2019,5,Sentinel_B10,55.202589257504414
2017_2019,5,Sentinel_B11,81.9487154695859
2017_2019,5,Sentinel_B12,100.23450637935024
2017_2019,5,Sentinel_B2,88.641719966348
2017_2019,5,Sentinel_B3,74.34222096272455
2017_2019,5,Sentinel_B4,79.03778531365704
2017_2019,5,Sentinel_B5,85.37355838950826
2017_2019,5,Sentinel_B6,80.45583010757655
2017_2019,5,Sentinel_B7,79.74604814630729
2017_2019,5,Sentinel_B8,81.1328047048947
2017_2019,5,Sentinel_B8A,91.89042732120011
2017_2019,5,Sentinel_B9,123.85179051880435
2017_2019,5,lrad,96.7057860385073
2017_2019,5,prec,87.16597704642685
2017_2019,5,pres,91.4397658594173
2017_2019,5,random,77.83322165050379
2017_2019,5,shum,90.13984746582344
2017_2019,5,srad,78.37185119711913
2017_2019,5,temp,87.6080793047283
2017_2019,5,wind,80.1589685337662
2017_2019,6,DEM,88.9631921131682
2017_2019,6,EVI_constant,68.67784088414116
2017_2019,6,EVI_cos_1,74.41452920332371
2017_2019,6,EVI_cos_2,69.21379512310801
2017_2019,6,EVI_cos_3,77.90289513529503
2017_2019,6,EVI_sin_1,100.8085986824992
2017_2019,6,EVI_sin_2,83.89939175144453
2017_2019,6,EVI_sin_3,74.71657049427934
2017_2019,6,EVI_t,56.52472143491153
2017_2019,6,Landsat_B1,59.91995664047654
2017_2019,6,Landsat_B10,51.1405034196025
2017_2019,6,Landsat_B11,59.22902524412469
2017_2019,6,Landsat_B2,62.12054935130878
2017_2019,6,Landsat_B3,48.18573979388678
2017_2019,6,Landsat_B4,63.113077487929445
2017_2019,6,Landsat_B5,76.18237066538765
2017_2019,6,Landsat_B6,79.16183484290008
2017_2019,6,Landsat_B7,101.40634918966079
2017_2019,6,Landsat_B8,66.19660125368917
2017_2019,6,Landsat_B9,3.6171505614848334
2017_2019,6,Mean_EVI,71.00394484019229
2017_2019,6,Mean_NDBI,62.89990747365299
2017_2019,6,Mean_NDVI,53.28029855988727
2017_2019,6,NDBI_constant,83.54249679481619
2017_2019,6,NDBI_cos_1,77.35705373695494
2017_2019,6,NDBI_cos_2,66.71767093798509
2017_2019,6,NDBI_cos_3,78.29745354514829
2017_2019,6,NDBI_sin_1,76.93158933301056
2017_2019,6,NDBI_sin_2,78.91335198489239
2017_2019,6,NDBI_sin_3,75.93691233147469
2017_2019,6,NDBI_t,58.82529083902468
2017_2019,6,NDVI_constant,74.05313422173539
2017_2019,6,NDVI_cos_1,72.67334765064776
2017_2019,6,NDVI_cos_2,74.73035990592842
2017_2019,6,NDVI_cos_3,80.6781642698884
2017_2019,6,NDVI_sin_1,92.3415927787751
2017_2019,6,NDVI_sin_2,81.28111506772156
2017_2019,6,NDVI_sin_3,71.2254243029826
2017_2019,6,NDVI_t,48.31889356400399
2017_2019,6,SLOPE,83.9484964848595
2017_2019,6,Sentinel_B1,80.64177481020359
2017_2019,6,Sentinel_B10,55.202589257504414
2017_2019,6,Sentinel_B11,81.9487154695859
2017_2019,6,Sentinel_B12,100.23450637935024
2017_2019,6,Sentinel_B2,88.641719966348
2017_2019,6,Sentinel_B3,74.34222096272455
2017_2019,6,Sentinel_B4,79.03778531365704
2017_2019,6,Sentinel_B5,85.37355838950826
2017_2019,6,Sentinel_B6,80.45583010757655
2017_2019,6,Sentinel_B7,79.74604814630729
2017_2019,6,Sentinel_B8,81.1328047048947
2017_2019,6,Sentinel_B8A,91.89042732120011
2017_2019,6,Sentinel_B9,123.85179051880435
2017_2019,6,lrad,96.7057860385073
2017_2019,6,prec,87.16597704642685
2017_2019,6,pres,91.4397658594173
2017_2019,6,random,77.83322165050379
2017_2019,6,shum,90.13984746582344
2017_2019,6,srad,78.37185119711913
2017_2019,6,temp,87.6080793047283
2017_2019,6,wind,80.1589685337662
2017_2019,7,DEM,88.9631921131682
2017_2019,7,EVI_constant,68.67784088414116
2017_2019,7,EVI_cos_1,74.41452920332371
2017_2019,7,EVI_cos_2,69.21379512310801
2017_2019,7,EVI_cos_3,77.90289513529503
2017_2019,7,EVI_sin_1,100.8085986824992
2017_2019,7,EVI_sin_2,83.89939175144453
2017_2019,7,EVI_sin_3,74.71657049427934
2017_2019,7,EVI_t,56.52472143491153
2017_2019,7,Landsat_B1,59.91995664047654
2017_2019,7,Landsat_B10,51.1405034196025
2017_2019,7,Landsat_B11,59.22902524412469
2017_2019,7,Landsat_B2,62.12054935130878
2017_2019,7,Landsat_B3,48.18573979388678
2017_2019,7,Landsat_B4,63.113077487929445
2017_2019,7,Landsat_B5,76.18237066538765
2017_2019,7,Landsat_B6,79.16183484290008
2017_2019,7,Landsat_B7,101.40634918966079
2017_2019,7,Landsat_B8,66.19660125368917
2017_2019,7,Landsat_B9,3.6171505614848334
2017_2019,7,Mean_EVI,71.00394484019229
2017_2019,7,Mean_NDBI,62.89990747365299
2017_2019,7,Mean_NDVI,53.28029855988727
2017_2019,7,NDBI_constant,83.54249679481619
2017_2019,7,NDBI_cos_1,77.35705373695494
2017_2019,7,NDBI_cos_2,66.71767093798509
2017_2019,7,NDBI_cos_3,78.29745354514829
2017_2019,7,NDBI_sin_1,76.93158933301056
2017_2019,7,NDBI_sin_2,78.91335198489239
2017_2019,7,NDBI_sin_3,75.93691233147469
2017_2019,7,NDBI_t,58.82529083902468
2017_2019,7,NDVI_constant,74.05313422173539
2017_2019,7,NDVI_cos_1,72.67334765064776
2017_2019,7,NDVI_cos_2,74.73035990592842
2017_2019,7,NDVI_cos_3,80.6781642698884
2017_2019,7,NDVI_sin_1,92.3415927787751
2017_2019,7,NDVI_sin_2,81.28111506772156
2017_2019,7,NDVI_sin_3,71.2254243029826
2017_2019,7,NDVI_t,48.31889356400399
2017_2019,7,SLOPE,83.9484964848595
2017_2019,7,Sentinel_B1,80.64177481020359
2017_2019,7,Sentinel_B10,55.202589257504414
2017_2019,7,Sentinel_B11,81.9487154695859
2017_2019,7,Sentinel_B12,100.23450637935024
2017_2019,7,Sentinel_B2,88.641719966348
2017_2019,7,Sentinel_B3,74.34222096272455
2017_2019,7,Sentinel_B4,79.03778531365704
2017_2019,7,Sentinel_B5,85.37355838950826
2017_2019,7,Sentinel_B6,80.45583010757655
2017_2019,7,Sentinel_B7,79.74604814630729
2017_2019,7,Sentinel_B8,81.1328047048947
2017_2019,7,Sentinel_B8A,91.89042732120011
2017_2019,7,Sentinel_B9,123.85179051880435
2017_2019,7,lrad,96.7057860385073
2017_2019,7,prec,87.16597704642685
2017_2019,7,pres,91.4397658594173
2017_2019,7,random,77.83322165050379
2017_2019,7,shum,90.13984746582344
2017_2019,7,srad,78.37185119711913
2017_2019,7,temp,87.6080793047283
2017_2019,7,wind,80.1589685337662
2017_2019,8,DEM,88.9631921131682
2017_2019,8,EVI_constant,68.67784088414116
2017_2019,8,EVI_cos_1,74.41452920332371
2017_2019,8,EVI_cos_2,69.21379512310801
2017_2019,8,EVI_cos_3,77.90289513529503
2017_2019,8,EVI_sin_1,100.8085986824992
2017_2019,8,EVI_sin_2,83.89939175144453
2017_2019,8,EVI_sin_3,74.71657049427934
2017_2019,8,EVI_t,56.52472143491153
2017_2019,8,Landsat_B1,59.91995664047654
2017_2019,8,Landsat_B10,51.1405034196025
2017_2019,8,Landsat_B11,59.22902524412469
2017_2019,8,Landsat_B2,62.12054935130878
2017_2019,8,Landsat_B3,48.18573979388678
2017_2019,8,Landsat_B4,63.113077487929445
2017_2019,8,Landsat_B5,76.18237066538765
2017_2019,8,Landsat_B6,79.16183484290008
2017_2019,8,Landsat_B7,101.40634918966079
2017_2019,8,Landsat_B8,66.19660125368917
2017_2019,8,Landsat_B9,3.6171505614848334
2017_2019,8,Mean_EVI,71.00394484019229
2017_2019,8,Mean_NDBI,62.89990747365299
2017_2019,8,Mean_NDVI,53.28029855988727
2017_2019,8,NDBI_constant,83.54249679481619
2017_2019,8,NDBI_cos_1,77.35705373695494
2017_2019,8,NDBI_cos_2,66.71767093798509
2017_2019,8,NDBI_cos_3,78.29745354514829
2017_2019,8,NDBI_sin_1,76.93158933301056
2017_2019,8,NDBI_sin_2,78.91335198489239
2017_2019,8,NDBI_sin_3,75.93691233147469
2017_2019,8,NDBI_t,58.82529083902468
2017_2019,8,NDVI_constant,74.05313422173539
2017_2019,8,NDVI_cos_1,72.67334765064776
2017_2019,8,NDVI_cos_2,74.73035990592842
2017_2019,8,NDVI_cos_3,80.6781642698884
2017_2019,8,NDVI_sin_1,92.3415927787751
2017_2019,8,NDVI_sin_2,81.28111506772156
2017_2019,8,NDVI_sin_3,71.2254243029826
2017_2019,8,NDVI_t,48.31889356400399
2017_2019,8,SLOPE,83.9484964848595
2017_2019,8,Sentinel_B1,80.64177481020359
2017_2019,8,Sentinel_B10,55.202589257504414
2017_2019,8,Sentinel_B11,81.9487154695859
2017_2019,8,Sentinel_B12,100.23450637935024
2017_2019,8,Sentinel_B2,88.641719966348
2017_2019,8,Sentinel_B3,74.34222096272455
2017_2019,8,Sentinel_B4,79.03778531365704
2017_2019,8,Sentinel_B5,85.37355838950826
2017_2019,8,Sentinel_B6,80.45583010757655
2017_2019,8,Sentinel_B7,79.74604814630729
2017_2019,8,Sentinel_B8,81.1328047048947
2017_2019,8,Sentinel_B8A,91.89042732120011
2017_2019,8,Sentinel_B9,123.85179051880435
2017_2019,8,lrad,96.7057860385073
2017_2019,8,prec,87.16597704642685
2017_2019,8,pres,91.4397658594173
2017_2019,8,random,77.83322165050379
2017_2019,8,shum,90.13984746582344
2017_2019,8,srad,78.37185119711913
2017_2019,8,temp,87.6080793047283
2017_2019,8,wind,80.1589685337662
2017_2019,9,DEM,88.9631921131682
2017_2019,9,EVI_constant,68.67784088414116
2017_2019,9,EVI_cos_1,74.41452920332371
2017_2019,9,EVI_cos_2,69.21379512310801
2017_2019,9,EVI_cos_3,77.90289513529503
2017_2019,9,EVI_sin_1,100.8085986824992
2017_2019,9,EVI_sin_2,83.89939175144453
2017_2019,9,EVI_sin_3,74.71657049427934
2017_2019,9,EVI_t,56.52472143491153
2017_2019,9,Landsat_B1,59.91995664047654
2017_2019,9,Landsat_B10,51.1405034196025
2017_2019,9,Landsat_B11,59.22902524412469
2017_2019,9,Landsat_B2,62.12054935130878
2017_2019,9,Landsat_B3,48.18573979388678
2017_2019,9,Landsat_B4,63.113077487929445
2017_2019,9,Landsat_B5,76.18237066538765
2017_2019,9,Landsat_B6,79.16183484290008
2017_2019,9,Landsat_B7,101.40634918966079
2017_2019,9,Landsat_B8,66.19660125368917
2017_2019,9,Landsat_B9,3.6171505614848334
2017_2019,9,Mean_EVI,71.00394484019229
2017_2019,9,Mean_NDBI,62.89990747365299
2017_2019,9,Mean_NDVI,53.28029855988727
2017_2019,9,NDBI_constant,83.54249679481619
2017_2019,9,NDBI_cos_1,77.35705373695494
2017_2019,9,NDBI_cos_2,66.71767093798509
2017_2019,9,NDBI_cos_3,78.29745354514829
2017_2019,9,NDBI_sin_1,76.93158933301056
2017_2019,9,NDBI_sin_2,78.91335198489239
2017_2019,9,NDBI_sin_3,75.93691233147469
2017_2019,9,NDBI_t,58.82529083902468
2017_2019,9,NDVI_constant,74.05313422173539
2017_2019,9,NDVI_cos_1,72.67334765064776
2017_2019,9,NDVI_cos_2,74.73035990592842
